time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-05-15T13:00:46.322Z,-23.5215,-66.8258,206.66,4.5,mb,,125,1.367,0.59,us,us6000hlau,2022-05-15T14:00:26.040Z,"92 km NNW of San Antonio de los Cobres, Argentina",earthquake,10.2,8.2,0.057,94,reviewed,us,us
2022-05-15T11:09:53.002Z,11.8795,142.2766,19.49,5.5,mww,,32,3.046,0.59,us,us6000hlak,2022-05-18T11:20:05.505Z,"south of the Mariana Islands",earthquake,8.9,4,0.073,18,reviewed,us,us
2022-05-15T09:22:44.420Z,-28.6884,-176.5663,10,4.9,mb,,70,1.316,0.45,us,us6000hla3,2022-05-15T09:52:38.040Z,"Kermadec Islands region",earthquake,11.1,1.9,0.046,147,reviewed,us,us
2022-05-15T04:29:00.118Z,-34.9799,-74.4756,10,4.6,mwr,,109,2.049,1.02,us,us6000hl8x,2022-05-15T05:36:41.860Z,"192 km WNW of Constitución, Chile",earthquake,6.5,1.9,,,reviewed,us,guc
2022-05-15T00:36:52.892Z,-6.1218,142.5781,10,4.6,mb,,85,9.737,0.8,us,us6000hl80,2022-05-16T08:51:24.928Z,"51 km SW of Tari, Papua New Guinea",earthquake,8,1.5,0.081,46,reviewed,us,us
2022-05-14T22:28:34.465Z,43.8837,147.733,35,5.1,mb,,115,3.716,0.75,us,us6000hl71,2022-05-14T22:47:05.040Z,"81 km E of Shikotan, Russia",earthquake,9,2,0.038,228,reviewed,us,us
2022-05-14T22:27:28.605Z,-8.52,-71.5215,580.36,4.6,mb,,68,1.41,0.81,us,us6000hl70,2022-05-14T22:41:47.040Z,"92 km WSW of Tarauacá, Brazil",earthquake,11.3,9.1,0.025,459,reviewed,us,us
2022-05-14T20:13:36.292Z,-40.9147,174.75,49.23,4.5,mb,,45,0.395,0.73,us,us6000hl6j,2022-05-15T00:13:52.715Z,"22 km W of Paraparaumu, New Zealand",earthquake,3.6,5.5,0.128,18,reviewed,us,us
2022-05-14T19:48:04.701Z,40.1288,76.5977,10,4.5,mb,,71,2.046,1.02,us,us6000hl6f,2022-05-14T21:26:01.040Z,"Kyrgyzstan-Xinjiang border region",earthquake,6.3,1.9,0.09,36,reviewed,us,us
2022-05-14T16:56:33.180Z,64.1153,-21.3144,10,4.5,mb,,102,0.634,1.09,us,us6000hl5m,2022-05-16T02:20:50.099Z,"14 km NNW of Hveragerði, Iceland",earthquake,6.8,1.9,0.061,80,reviewed,us,us
